FOLIO,FECHA,HORA,MINUTO,TIPO,VIOLENCIA,LATITUD,LONGITUD,DISTRITO,CUADRANTE,DIA,MES,ESTACION,AÑO
75077,2015-01-07,99,99,ROBO A CASA HABITACION,NO,28.718022,-106.092127,Colón,15,7,1,Invierno,2015
67170X,2015-01-07,99,99,ROBO A NEGOCIO,SI,28.645197,-106.014064,Morelos,50,7,1,Invierno,2015
016236SP,2015-01-07,99,99,ROBO DE VEHICULO,SI,28.649534,-106.076673,Villa,25,7,1,Invierno,2015
011838SP,2015-01-07,99,99,ROBO A NEGOCIO,NO,28.631582,-106.110176,Diana,33,7,1,Invierno,2015
30581SP,2015-01-07,99,99,ROBO A NEGOCIO,NO,28.704446,-106.126392,Colón,12,7,1,Invierno,2015
74171,2015-01-08,99,99,ROBO A CASA HABITACION,NO,28.734384,-106.143558,Colón,6,8,1,Invierno,2015
77807,2015-01-08,99,99,ROBO A NEGOCIO,SI,28.743586,-106.120309,Colón,8,8,1,Invierno,2015
471932SO,2015-01-08,99,99,ROBO A CASA HABITACION,NO,28.672069,-105.984358,Morelos,47,8,1,Invierno,2015
155719C,2015-01-08,99,99,ROBO A CASA HABITACION,NO,28.622927,-106.079981,Zapata,69,8,1,Invierno,2015
63225X,2015-01-08,99,99,ROBO A CASA HABITACION,SI,28.581908,-106.035655,Morelos,59,8,1,Invierno,2015
66526X,2015-01-08,99,99,ROBO A CASA HABITACION,NO,28.708831,-106.134158,Colón,12,8,1,Invierno,2015
60520,2015-01-08,99,99,ROBO A CASA HABITACION,NO,28.577954,-106.034635,Morelos,59,8,1,Invierno,2015
80352X,2015-01-08,99,99,ROBO A NEGOCIO,NO,28.683555,-106.110775,Villa,19,8,1,Invierno,2015
79254,2015-01-08,99,99,ROBO A CASA HABITACION,NO,28.627207,-106.083145,Zapata,69,8,1,Invierno,2015
75002X,2015-01-08,99,99,ROBO A NEGOCIO,SI,28.70203,-106.096434,Villa,18,8,1,Invierno,2015
74774,2015-01-09,99,99,ROBO A NEGOCIO,NO,28.632884,-106.07638,Ángel,38,9,1,Invierno,2015
78162,2015-01-09,99,99,ROBO A CASA HABITACION,NO,28.630875,-106.06214,Zapata,70,9,1,Invierno,2015
69306X,2015-01-09,99,99,ROBO A NEGOCIO,NO,28.62181,-106.111004,Diana,32,9,1,Invierno,2015
67257,2015-01-09,99,99,ROBO A NEGOCIO,SI,28.602862,-106.025501,Morelos,55,9,1,Invierno,2015
79301,2015-01-09,99,99,ROBO A NEGOCIO,SI,28.60926,-106.026862,Morelos,55,9,1,Invierno,2015
005067D,2015-01-09,99,99,ROBO A NEGOCIO,NO,28.650807,-106.099022,Diana,31,9,1,Invierno,2015
76242,2015-01-09,99,99,ROBO A CASA HABITACION,NO,28.652273,-106.095261,Diana,31,9,1,Invierno,2015
65949,2015-01-09,99,99,ROBO A CASA HABITACION,NO,28.781603,-106.167972,Colón,3,9,1,Invierno,2015
67258,2015-01-09,99,99,ROBO A NEGOCIO,SI,28.617093,-106.031786,Zapata,77,9,1,Invierno,2015
61118,2015-01-09,99,99,ROBO A CASA HABITACION,NO,28.737899,-106.136612,Colón,7,9,1,Invierno,2015
78604,2015-01-09,99,99,ROBO A CASA HABITACION,NO,28.781837,-106.168057,Colón,3,9,1,Invierno,2015
80601,2015-01-10,99,99,ROBO A NEGOCIO,NO,28.670062,-106.073812,Villa,26,10,1,Invierno,2015
70066,2015-01-10,99,99,ROBO A NEGOCIO,NO,28.674107,-106.069136,Villa,26,10,1,Invierno,2015
455474SO,2015-01-10,99,99,ROBO A CASA HABITACION,NO,28.607935,-106.003734,Morelos,56,10,1,Invierno,2015
007312D,2015-01-10,99,99,ROBO A CASA HABITACION,NO,28.671062,-105.988729,Morelos,47,10,1,Invierno,2015
